Processor,MOS transistor count,Date of Introduction,Designer,MOSprocess,Area
Six-core Opteron 2400 (64-bit  SIMD  large caches),904000000,2009,AMD,45 nm,346 mm²
SPARC64 VIIIfx (64-bit  SIMD  large caches),760000000,2009,Fujitsu,45 nm,513 mm²
16-core SPARC T3 (64-bit  SIMD  large caches),1000000000,2010,Sun/Oracle,40 nm,377 mm²
Six-core Core i7 (Gulftown),1170000000,2010,Intel,32 nm,240 mm²
8-core POWER7 32M L3 (64-bit  SIMD  large caches),1200000000,2010,IBM,45 nm,567 mm²
Quad-core z196 (64-bit  very large caches),1400000000,2010,IBM,45 nm,512 mm²
Quad-core Itanium Tukwila (64-bit  SIMD  large caches),2000000000,2010,Intel,65 nm,699 mm²
8-core Xeon Nehalem-EX (64-bit  SIMD  large caches),2300000000,2010,Intel,45 nm,684 mm²
SPARC64 IXfx (64-bit  SIMD  large caches),1870000000,2011,Fujitsu,40 nm,484 mm²
Quad-core + GPU Core i7 (64-bit  SIMD  large caches),1160000000,2011,Intel,32 nm,216 mm²
Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP) (64-bit  SIMD  large caches),2270000000,2011,Intel,32 nm,434 mm²
10-core Xeon Westmere-EX (64-bit  SIMD  large caches),2600000000,2011,Intel,32 nm,512 mm²
"Atom ""Medfield"" (64-bit)",432000000,2012,Intel,32 nm,64 mm²
SPARC64 X (64-bit  SIMD  caches),2990000000,2012,Fujitsu,28 nm,600 mm²
8-core AMD Bulldozer (64-bit  SIMD  caches),1200000000,2012,AMD,32 nm,315 mm²
Quad-core + GPU AMD Trinity (64-bit  SIMD  caches),1303000000,2012,AMD,32 nm,246 mm²
Quad-core + GPU Core i7 Ivy Bridge (64-bit  SIMD  caches),1400000000,2012,Intel,22 nm,160 mm²
8-core POWER7+ (64-bit  SIMD)  80 MB L3 cache),2100000000,2012,IBM,32 nm,567 mm²
Six-core zEC12 (64-bit  SIMD  large caches),2750000000,2012,IBM,32 nm,597 mm²
8-core Itanium Poulson (64-bit  SIMD  caches),3100000000,2012,Intel,32 nm,544 mm²
61-core Xeon Phi (32-bit  512-bit SIMD  caches),5000000000,2012,Intel,22 nm,720 mm²
"Apple A7 (dual-core 64/32-bit ARM64  ""mobile SoC""  SIMD  caches)",1000000000,2013,Apple,28 nm,102 mm²
Six-core Core i7 Ivy Bridge E (64-bit  SIMD  caches),1860000000,2013,Intel,22 nm,256 mm²
12-core POWER8 (64-bit  SIMD  caches),4200000000,2013,IBM,22 nm,650 mm²
Xbox One main SoC (64-bit  SIMD  caches),5000000000,2013,Microsoft/AMD,28 nm,363 mm²
Quad-core + GPU Core i7 Haswell (64-bit  SIMD  caches),1400000000,2014,Intel,22 nm,177 mm²
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",2000000000,2014,Apple,20 nm,89 mm²
8-core Core i7 Haswell-E (64-bit  SIMD  caches),2600000000,2014,Intel,22 nm,355 mm²
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",3000000000,2014,Apple,20 nm,128 mm²
15-core Xeon Ivy Bridge-EX (64-bit  SIMD  caches),4310000000,2014,Intel,22 nm,541 mm²
18-core Xeon Haswell-E5 (64-bit  SIMD  caches),5560000000,2014,Intel,22 nm,661 mm²
Quad-core + GPU GT2 Core i7 Skylake K (64-bit  SIMD  caches),1750000000,2015,Intel,14 nm,122 mm²
Dual-core + GPU Iris Core i7 Broadwell-U (64-bit  SIMD  caches),1900000000,2015,Intel,14 nm,133 mm²
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",2000000000,2015,Apple,14 nm(Samsung),96 mm²(Samsung)
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",2000000000,2015,Apple,16 nm(TSMC),104.5 mm²(TSMC)
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",3000000000,2015,Apple,16 nm,143.9 mm²
IBM z13 (64-bit  caches),3990000000,2015,IBM,22 nm,678 mm²
IBM z13 Storage Controller,7100000000,2015,IBM,22 nm,678 mm²
32-core SPARC M7 (64-bit  SIMD  caches),10000000000,2015,Oracle,20 nm,
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",3000000000,2016,Qualcomm,10 nm,72.3 mm²
10-core Core i7 Broadwell-E (64-bit  SIMD  caches),3200000000,2016,Intel,14 nm,246 mm²
"Apple A10 Fusion (quad-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",3300000000,2016,Apple,16 nm,125 mm²
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",4000000000,2016,Huawei,16 nm,110.00 mm2
22-core Xeon Broadwell-E5 (64-bit  SIMD  caches),7200000000,2016,Intel,14 nm,456 mm²
72-core Xeon Phi (64-bit  512-bit SIMD  caches),8000000000,2016,Intel,14 nm,683 mm²
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",5300000000,2017,Qualcomm,10 nm,94 mm²
"Qualcomm Snapdragon 850  (octa-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",5300000000,2017,Qualcomm,10 nm,94 mm²
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",4300000000,2017,Apple,10 nm,89.23 mm²
Zeppelin SoC Ryzen (64-bit  SIMD  caches),4800000000,2017,AMD,14 nm,192 mm²
Ryzen 5 1600 Ryzen (64-bit  SIMD  caches),4800000000,2017,AMD,14 nm,213 mm²
Ryzen 5 1600 X Ryzen (64-bit  SIMD  caches),4800000000,2017,AMD,14 nm,213 mm²
IBM z14 (64-bit  SIMD  caches),6100000000,2017,IBM,14 nm,696 mm²
IBM z14 Storage Controller (64-bit),9700000000,2017,IBM,14 nm,696 mm²
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",5500000000,2017,Huawei,10 nm,96.72 mm2
Xbox One X (Project Scorpio) main SoC (64-bit  SIMD  caches),7000000000,2017,Microsoft/AMD,16 nm,360 mm²
POWER9 (64-bit  SIMD  caches),8000000000,2017,IBM,14 nm,695 mm²
Freedom U500 Base Platform Chip (E51  4×U54) RISC-V (64-bit  caches),250000000,2017,SiFive,28 nm,~30 mm²
SPARC64 XII (12-core 64-bit  SIMD  caches),5450000000,2017,Fujitsu,20 nm,795 mm2
"Apple A10X Fusion (hexa-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",4300000000,2017,Apple,10 nm,96.40 mm2
Centriq 2400 (64/32-bit  SIMD  caches),18000000000,2017,Qualcomm,10 nm,398 mm2
32-core AMD Epyc (64-bit  SIMD  caches),19200000000,2017,AMD,14 nm,768 mm2
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC""  SIMD  caches)",8500000000,2018,Qualcomm,7 nm,112 mm²
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC""  SIMD  caches)",6900000000,2018,Apple,7 nm,83.27 mm2
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC""  SIMD  caches)",6900000000,2018,Huawei,7 nm,74.13 mm2
HiSilicon Kirin 990 5G,10300000000,2019,Huawei,7 nm,113.31 mm2
HiSilicon Kirin 990 4G,8000000000,2019,Huawei,7 nm,90.00 mm2
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC""  SIMD  caches)",5500000000,2018,Huawei,12 nm,
"Apple A12X Bionic (octa-core 64/32-bit ARM64 ""mobile SoC""  SIMD  caches)",10000000000,2018,Apple,7 nm,122 mm2
Apple A13 (iPhone 11 Pro),8500000000,2019,Apple,7 nm,98.48 mm2
Fujitsu A64FX (64/32-bit  SIMD  caches),8786000000,2018,Fujitsu,7 nm,
Tegra Xavier SoC (64/32-bit),9000000000,2018,Nvidia,12 nm,350 mm²
AMD Ryzen 7 3700X (64-bit  SIMD  caches  I/O die),5990000000,2019,AMD,7&12 nm (TSMC),199 (74+125) mm²
AMD Ryzen 9 3900X (64-bit  SIMD  caches  I/O die),9890000000,2019,AMD,7 & 12 nm (TSMC),273 mm²
AMD Epyc Rome (64-bit  SIMD  caches),39540000000,2019,AMD,7 & 12 nm (TSMC),1088 mm²
AWS Graviton2 (64-bit  64-core ARM-based  SIMD  caches),30000000000,2019,Amazon,7 nm,
