0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
632,4217,4414,386,760,365,709,741,1432,41,1585,66,7205,258,145,599,409,439,402,1760,597,253,851,188,2256,137,1470,76,57,567,821,1458,2374,64,295,375,135,2568,1868,2021,11,1057,458,350,557,41,357,259,198,87,803,97,1498,204,73,1362,469,378,199,617,347,753,3938,562,249,51,167,1599,333,152,617,5775,144,249,451,2274,850,335,1890,762,587,321,443,132,378,151,129,1377,284,1780,6680,4670,196,2932,768,422,365,579,1176,226,416,529,851,822,1298,326,17,959,326,1546,3683,163,13,3660,63,1380,297,1178,986,4035,38,1129,428,156,192,466,1705,1729,103,10718,3,824,2425,2052,1217,649,14,308,1175,275,5585,211,282,924,234,63,1961,603,5990,145,119,225,2371,981,158,780,6081,324,88,1483,124,266,1310,947,61,312,149,341,909,122,452,15,318,369,917
622,6409,5078,420,799,351,743,847,1567,36,1104,58,6875,277,122,616,388,239,394,1813,586,244,802,159,1600,170,1233,67,56,514,774,1392,2431,62,265,233,132,2353,1817,1906,12,1039,458,346,473,42,316,304,227,96,863,84,1500,225,81,1294,439,342,222,760,385,774,4130,613,272,52,155,2252,307,174,547,5844,111,286,475,2322,827,280,2661,777,650,249,438,175,432,151,129,1359,300,1679,6250,4037,206,2950,797,447,371,578,1242,244,413,492,881,745,1167,339,16,1164,296,1807,2204,184,14,3381,65,1232,280,1120,1140,3556,39,1149,407,118,173,518,1798,1603,107,13068,3,980,2310,2043,1245,673,15,247,1246,269,5063,235,281,911,251,70,1946,538,6531,186,136,240,2591,911,212,744,6449,368,72,1297,115,280,1368,1189,47,333,136,350,1014,161,389,18,219,397,896
589,6073,6003,509,1021,381,777,756,2056,23,1159,49,8375,233,88,743,402,201,391,1661,678,199,742,191,1692,188,1292,58,54,534,753,1280,2083,59,259,255,113,2340,2375,1764,9,984,438,305,518,29,349,191,223,74,723,85,1645,237,86,1920,422,296,204,735,372,1001,4545,594,291,45,180,2223,212,123,556,6322,128,277,480,2412,758,284,2428,678,573,264,422,167,523,143,133,1346,317,1805,6786,4591,215,3001,822,505,337,634,1164,293,364,451,1033,763,1102,317,14,1089,537,2091,2394,180,15,3014,69,1212,237,784,1393,3937,46,1233,442,127,232,490,1734,1843,138,12847,3,1003,2687,1946,1510,854,14,353,1325,295,4886,205,241,825,257,87,2137,392,6914,233,136,213,3008,925,230,677,6280,399,80,1418,101,315,1467,1031,34,586,143,360,1062,159,452,23,268,323,764
604,5948,3024,461,1018,311,866,724,1860,18,1085,50,7836,235,89,760,510,192,546,1667,626,187,1022,189,1482,229,1304,61,49,538,724,1446,1871,51,259,246,97,2569,2017,1793,9,981,433,305,635,26,346,232,227,72,729,92,1559,242,76,1737,451,203,197,697,421,994,4296,490,266,40,192,2786,239,103,608,4154,130,271,464,2874,749,293,2345,698,551,262,485,182,492,141,138,1391,295,1556,9045,5068,230,2866,851,486,256,635,1111,351,402,461,913,702,1052,325,14,1119,245,3042,1482,176,15,3136,63,1142,211,403,1622,3681,21,1190,434,143,215,496,1839,1775,142,13247,3,1487,2218,1702,2060,918,15,326,1502,276,4752,220,261,908,232,91,2049,389,8226,225,140,222,3327,1007,188,791,7647,420,87,1817,100,301,1350,967,30,525,147,402,1006,153,433,21,271,360,759
527,5790,3037,427,1017,253,905,878,1689,19,941,48,7590,228,96,832,543,210,128,1703,552,209,881,222,1257,227,1396,54,55,518,1050,1304,2455,42,337,189,75,2884,1983,1850,9,998,430,317,512,28,369,262,221,47,706,97,1615,262,69,1830,458,202,215,683,357,1112,5515,496,256,42,194,2955,229,96,653,4575,132,254,545,2963,574,297,2442,640,495,294,589,186,510,144,98,1472,294,1628,8759,3707,202,2446,845,198,302,724,957,347,379,465,854,806,1210,298,15,1169,253,3755,1562,230,17,3076,63,1143,226,371,2012,3944,27,1310,510,163,352,513,1645,1647,121,14623,3,1830,2179,1965,1436,886,13,259,1791,278,4652,224,281,992,198,83,2258,367,11346,179,114,193,3895,1016,182,749,8769,425,77,1838,91,301,1097,1125,41,541,165,434,1182,137,497,17,299,353,880
498,5565,2936,478,1036,341,801,791,1897,19,971,38,8078,226,101,951,563,265,115,1712,578,190,952,186,964,219,1757,57,59,604,1115,1131,2875,42,308,203,70,2729,1492,1956,10,755,414,325,636,21,330,295,153,46,607,87,2037,215,56,1870,623,171,205,599,425,880,5852,555,254,48,191,2979,224,72,576,3421,132,246,372,2774,632,287,2434,599,426,286,693,207,726,162,90,1898,310,1554,8337,3536,198,2750,830,233,262,762,993,324,343,465,795,783,1150,334,14,1008,221,3833,1307,286,19,2876,68,1235,263,364,2099,4315,21,1324,469,133,547,562,1506,1823,116,15500,3,2359,2172,2052,1351,957,14,204,2063,257,5349,218,226,989,201,56,2479,328,10541,159,114,286,2849,1012,173,674,10377,509,76,1867,92,309,1203,1029,44,586,143,381,1112,74,556,15,349,411,1140
483,6992,2568,475,1099,372,848,689,1864,21,907,43,7275,231,85,1376,550,288,112,1600,535,175,1098,175,756,198,1779,41,69,626,1162,1208,3438,47,281,207,78,2524,1589,2145,10,649,403,359,639,24,278,290,128,50,550,112,2236,223,58,2099,611,190,212,565,438,845,6138,604,274,57,185,2676,272,63,506,3938,106,281,355,3164,699,258,2391,550,481,255,743,198,691,172,90,2619,283,1658,9790,3207,247,2843,950,222,210,699,741,285,337,505,847,739,1076,314,15,978,261,3526,1341,263,22,3112,70,1314,284,408,1910,3880,25,1358,499,130,468,547,1397,1377,132,17108,2,2298,1462,2006,1174,895,12,224,2655,266,6119,212,226,938,229,56,2807,358,10766,227,101,263,1874,1135,175,605,9893,617,84,1838,86,330,1571,1119,45,491,148,426,1214,67,397,17,451,392,1203
478,7560,2056,449,1061,255,773,571,2339,24,921,37,6149,231,94,1434,670,301,135,1605,817,186,752,189,782,209,1837,34,58,668,1620,1348,3349,44,269,288,71,2598,1877,2265,11,657,467,307,606,10,301,278,125,40,544,111,2011,188,50,2034,655,222,181,517,341,675,5981,541,323,64,180,2939,289,73,475,5565,87,211,277,3215,713,237,2311,491,592,283,607,183,596,151,79,2833,299,1756,10045,2942,230,2595,956,221,213,835,757,286,306,485,816,704,1192,335,10,1181,218,3908,1343,228,27,3484,69,1348,284,445,1719,4189,25,2086,524,150,432,606,1761,967,121,19138,3,2866,1255,2573,1307,809,12,263,3056,260,6025,202,190,969,224,56,2608,401,10835,230,97,237,1676,1140,205,551,12598,579,85,1704,70,366,1625,1202,34,405,147,417,1434,53,417,23,537,365,1131
519,9143,1917,459,1125,244,719,734,2737,25,906,47,7054,233,88,1639,797,303,108,1602,773,194,806,193,843,191,1411,30,53,791,1815,1287,3171,46,403,253,65,2929,1768,2175,17,632,494,281,493,9,313,255,109,36,601,98,1882,236,42,2549,744,226,188,466,352,878,6076,564,291,63,183,3306,150,95,459,5270,89,238,299,2427,688,240,2359,596,561,286,548,195,600,150,94,3088,308,1884,11598,4135,240,2483,1077,114,177,895,859,331,293,500,968,755,1059,292,10,1140,270,4269,767,268,30,3109,87,1348,259,417,1959,4484,26,2626,514,138,429,589,1646,947,124,22435,3,2800,1451,1803,1382,1271,11,235,4487,236,6865,194,177,915,205,52,2586,405,9792,223,93,209,2046,1078,212,564,12411,615,76,1688,63,346,1529,1099,39,398,136,335,1468,56,458,23,533,360,1178
471,8515,2455,472,906,237,689,713,3123,26,937,44,7577,233,80,2172,891,250,65,2390,877,207,1046,203,808,177,1543,32,54,853,1750,1231,3624,49,517,243,69,3550,1991,2193,14,671,479,299,493,10,284,187,76,34,561,88,1620,174,47,2365,777,317,222,443,457,967,6018,518,346,70,179,3286,192,87,450,4813,86,246,314,2491,751,213,2397,675,623,258,382,182,621,152,72,3308,278,1839,11320,4378,303,2583,970,113,162,846,990,404,304,475,1428,743,1374,315,11,1403,277,5164,724,328,27,3029,91,1494,282,387,1969,5465,26,2907,486,136,458,743,1577,926,122,24223,3,3149,1682,2116,1107,1411,12,145,4493,267,7242,212,161,846,209,45,3090,398,9704,210,92,299,2362,970,154,610,13385,730,72,1758,61,363,2296,1130,43,380,125,331,1604,52,519,21,497,378,1085
472,8535,2273,533,937,263,681,730,3452,28,899,46,6850,228,74,2787,996,312,50,2769,800,183,841,177,802,194,1480,34,51,1079,2085,1266,3750,44,588,247,59,4400,1884,2017,12,695,513,277,537,9,260,164,89,43,630,74,1622,169,51,2231,761,310,265,438,367,1085,5773,475,363,76,168,3298,170,78,470,5178,102,217,301,3061,760,251,2126,805,758,273,481,203,575,137,71,3938,284,1882,12621,4787,310,2308,1027,162,171,740,980,383,314,435,1985,695,1624,285,10,1905,111,5531,753,334,26,3451,106,1206,255,357,1994,5408,26,2686,549,123,464,691,1926,1126,111,27230,2,2915,1534,3391,1099,1495,11,126,4927,292,6937,203,175,899,247,46,3014,400,9549,196,93,349,2543,1094,164,910,12925,673,70,2506,40,377,2651,1345,45,414,128,353,1745,58,458,20,412,367,1336
482,9314,2290,657,941,234,576,715,2865,28,975,53,6682,246,74,2283,968,334,41,2748,1345,230,1023,202,864,180,2034,33,52,1472,2141,1176,3522,44,703,280,72,4295,2209,2125,12,777,495,284,565,7,289,146,125,65,634,81,1826,183,49,2546,815,312,290,665,371,1311,5379,540,372,80,171,3597,134,71,368,4825,99,193,314,2932,840,184,2114,706,887,274,514,208,511,139,77,3823,294,1683,13842,6573,329,2961,952,147,202,777,971,389,286,422,2010,811,1667,292,10,2031,128,7340,883,352,26,3629,112,1116,221,343,1884,5990,31,3180,545,121,624,717,2345,908,122,26849,2,2764,1832,4090,1185,1406,13,91,4294,274,6641,239,177,672,257,49,3259,374,9132,204,109,347,2759,1057,85,1162,11368,689,68,3186,45,388,2658,1450,43,307,136,317,1579,50,485,19,396,388,1590
367,11850,2488,603,921,199,641,626,2814,26,827,61,8693,154,63,2197,1089,345,31,2825,1373,202,1062,218,515,194,2347,32,52,1757,2444,1084,3425,41,751,286,72,4556,2365,2139,11,815,554,215,435,7,255,145,142,45,717,69,2142,180,48,2418,742,453,321,696,396,1079,5904,503,338,73,157,3249,150,64,269,5459,87,226,307,2679,866,178,2138,711,754,280,569,194,494,143,69,3568,276,1892,12980,6244,305,2670,899,140,210,804,789,390,272,401,2110,742,1692,322,9,1702,129,6669,1067,314,24,3461,120,1007,214,343,1803,6066,34,3111,583,146,684,756,2870,729,130,26470,3,2446,2055,4684,1334,990,15,71,4953,288,6976,246,154,560,271,70,4005,395,11041,200,106,475,3029,996,96,1230,13763,758,79,3770,47,408,2938,1414,34,416,136,359,1643,61,494,17,374,373,1628
376,13020,2349,552,877,151,567,617,3018,23,896,74,8328,158,63,2035,1088,370,30,3019,1325,205,1113,227,477,214,2368,36,65,1547,3522,1180,3509,48,680,299,71,4165,2588,2140,11,802,574,273,351,6,296,161,167,50,673,60,2479,139,36,2313,711,399,329,707,435,1051,6056,470,263,84,162,3046,150,43,263,4595,92,204,329,2200,939,180,2170,619,987,278,524,212,520,138,73,3202,261,2316,13546,7117,350,3460,862,151,200,818,822,374,301,383,2176,744,1686,316,10,1983,121,6595,1060,358,27,3541,98,1108,170,338,1872,6133,34,2710,629,143,594,761,4154,601,135,27426,3,2258,1987,4444,815,649,13,69,5378,303,6661,232,167,319,305,76,3265,334,11931,254,141,604,3877,930,103,1313,15104,605,74,4555,49,458,3231,1648,35,240,138,326,1368,62,516,17,383,375,1508
336,14235,3180,552,824,146,656,580,2930,22,864,62,7857,160,66,1557,1130,392,31,2215,1485,202,1164,211,649,213,1903,21,63,1582,3975,1251,3549,55,711,262,73,4041,1728,2164,14,836,568,266,344,7,270,159,148,47,670,67,3449,142,40,2313,718,510,340,779,427,846,5689,158,267,129,158,3464,146,54,276,3962,87,181,326,1821,959,190,1982,576,937,308,613,188,525,135,84,3326,234,2477,13407,6929,330,3541,821,174,199,737,907,366,316,428,3242,793,2372,283,8,1961,130,5576,1164,378,25,3524,94,1026,147,310,1675,5986,27,2589,619,147,467,762,4250,392,125,26305,3,2033,2204,3910,986,663,13,61,5816,323,6261,255,143,281,319,82,3173,298,10454,266,151,688,4498,1043,94,1521,14337,656,83,4497,50,552,3889,1666,37,249,131,310,1370,49,567,10,409,459,1376
